Time_stamp,Count
2024-10-06 19:10:00,545
2024-10-06 19:20:00,520
2024-10-06 19:30:00,569
2024-10-06 19:40:00,545
2024-10-06 19:50:00,558
2024-10-06 20:00:00,550
2024-10-06 20:10:00,583
2024-10-06 20:20:00,547
2024-10-06 20:30:00,561
2024-10-06 20:40:00,562
2024-10-06 20:50:00,578
2024-10-06 21:00:00,568
2024-10-06 21:10:00,598
2024-10-06 21:20:00,560
2024-10-06 21:30:00,556
2024-10-06 21:40:00,528
2024-10-06 21:50:00,563
2024-10-06 22:00:00,550
2024-10-06 22:10:00,541
2024-10-06 22:20:00,570
2024-10-06 22:30:00,557
2024-10-06 22:40:00,577
2024-10-06 22:50:00,557
2024-10-06 23:00:00,549
2024-10-06 23:10:00,557
2024-10-06 23:20:00,539
2024-10-06 23:30:00,567
2024-10-06 23:40:00,599
2024-10-06 23:50:00,575
2024-10-07 00:00:00,546
2024-10-07 00:10:00,525
2024-10-07 00:20:00,571
2024-10-07 00:30:00,548
2024-10-07 00:40:00,573
2024-10-07 00:50:00,595
2024-10-07 01:00:00,567
2024-10-07 01:10:00,578
2024-10-07 01:20:00,595
2024-10-07 01:30:00,559
2024-10-07 01:40:00,561
2024-10-07 01:50:00,528
2024-10-07 02:00:00,608
2024-10-07 02:10:00,549
2024-10-07 02:20:00,571
2024-10-07 02:30:00,567
2024-10-07 02:40:00,587
2024-10-07 02:50:00,537
2024-10-07 03:00:00,541
2024-10-07 03:10:00,564
2024-10-07 03:20:00,576
2024-10-07 03:30:00,619
2024-10-07 03:40:00,523
2024-10-07 03:50:00,571
2024-10-07 04:00:00,567
2024-10-07 04:10:00,563
2024-10-07 04:20:00,549
2024-10-07 04:30:00,565
2024-10-07 04:40:00,591
2024-10-07 04:50:00,590
2024-10-07 05:00:00,552
2024-10-07 05:10:00,567
2024-10-07 05:20:00,548
2024-10-07 05:30:00,542
2024-10-07 05:40:00,516
2024-10-07 05:50:00,570
2024-10-07 06:00:00,585
2024-10-07 06:10:00,567
2024-10-07 06:20:00,578
2024-10-07 06:30:00,580
2024-10-07 06:40:00,564
2024-10-07 06:50:00,606
2024-10-07 07:00:00,543
2024-10-07 07:10:00,569
2024-10-07 07:20:00,609
2024-10-07 07:30:00,617
2024-10-07 07:40:00,584
2024-10-07 07:50:00,573
2024-10-07 08:00:00,577
2024-10-07 08:10:00,585
2024-10-07 08:20:00,572
2024-10-07 08:30:00,597
2024-10-07 08:40:00,584
2024-10-07 08:50:00,585
2024-10-07 09:00:00,587
2024-10-07 09:10:00,557
2024-10-07 09:20:00,617
2024-10-07 09:30:00,584
2024-10-07 09:40:00,592
2024-10-07 09:50:00,577
2024-10-07 10:00:00,579
2024-10-07 10:10:00,566
2024-10-07 10:20:00,563
2024-10-07 10:30:00,572
2024-10-07 10:40:00,565
2024-10-07 10:50:00,596
2024-10-07 11:00:00,585
2024-10-07 11:10:00,580
2024-10-07 11:20:00,567
2024-10-07 11:30:00,571
2024-10-07 11:40:00,570
2024-10-07 11:50:00,575
2024-10-07 12:00:00,592
2024-10-07 12:10:00,596
2024-10-07 12:20:00,626
2024-10-07 12:30:00,564
2024-10-07 12:40:00,566
2024-10-07 12:50:00,563
2024-10-07 13:00:00,586
2024-10-07 13:10:00,590
2024-10-07 13:20:00,589
2024-10-07 13:30:00,562
2024-10-07 13:40:00,591
2024-10-07 13:50:00,557
2024-10-07 14:00:00,532
2024-10-07 14:10:00,581
2024-10-07 14:20:00,592
2024-10-07 14:30:00,548
2024-10-07 14:40:00,577
2024-10-07 14:50:00,565
2024-10-07 15:00:00,577
2024-10-07 15:10:00,567
2024-10-07 15:20:00,589
2024-10-07 15:30:00,583
2024-10-07 15:40:00,566
2024-10-07 15:50:00,527
2024-10-07 16:00:00,594
2024-10-07 16:10:00,561
2024-10-07 16:20:00,597
2024-10-07 16:30:00,580
2024-10-07 16:40:00,592
2024-10-07 16:50:00,577
2024-10-07 17:00:00,555
2024-10-07 17:10:00,579
2024-10-07 17:20:00,593
2024-10-07 17:30:00,588
2024-10-07 17:40:00,589
2024-10-07 17:50:00,555
2024-10-07 18:00:00,555
2024-10-07 18:10:00,592
2024-10-07 18:20:00,543
2024-10-07 18:30:00,578
2024-10-07 18:40:00,558
2024-10-07 18:50:00,562
2024-10-07 19:00:00,559
2024-10-07 19:10:00,586
2024-10-07 19:20:00,590
2024-10-07 19:30:00,552
2024-10-07 19:40:00,582
2024-10-07 19:50:00,567
2024-10-07 20:00:00,562
2024-10-07 20:10:00,560
2024-10-07 20:20:00,573
2024-10-07 20:30:00,577
2024-10-07 20:40:00,558
2024-10-07 20:50:00,526
2024-10-07 21:00:00,548
2024-10-07 21:10:00,588
2024-10-07 21:20:00,555
2024-10-07 21:30:00,536
2024-10-07 21:40:00,539
2024-10-07 21:50:00,561
2024-10-07 22:00:00,548
2024-10-07 22:10:00,571
2024-10-07 22:20:00,565
2024-10-07 22:30:00,545
2024-10-07 22:40:00,563
2024-10-07 22:50:00,569
2024-10-07 23:00:00,554
2024-10-07 23:10:00,577
2024-10-07 23:20:00,598
2024-10-07 23:30:00,618
2024-10-07 23:40:00,553
2024-10-07 23:50:00,589
2024-10-08 00:00:00,582
2024-10-08 00:10:00,527
2024-10-08 00:20:00,622
2024-10-08 00:30:00,562
2024-10-08 00:40:00,558
2024-10-08 00:50:00,591
2024-10-08 01:00:00,545
2024-10-08 01:10:00,555
2024-10-08 01:20:00,593
2024-10-08 01:30:00,562
2024-10-08 01:40:00,553
2024-10-08 01:50:00,589
2024-10-08 02:00:00,543
2024-10-08 02:10:00,573
2024-10-08 02:20:00,566
2024-10-08 02:30:00,564
2024-10-08 02:40:00,556
2024-10-08 02:50:00,573
2024-10-08 03:00:00,578
2024-10-08 03:10:00,607
2024-10-08 03:20:00,554
2024-10-08 03:30:00,590
2024-10-08 03:40:00,573
2024-10-08 03:50:00,568
2024-10-08 04:00:00,565
2024-10-08 04:10:00,577
2024-10-08 04:20:00,580
2024-10-08 04:30:00,560
2024-10-08 04:40:00,588
2024-10-08 04:50:00,582
2024-10-08 05:00:00,566
2024-10-08 05:10:00,575
2024-10-08 05:20:00,590
2024-10-08 05:30:00,566
2024-10-08 05:40:00,571
2024-10-08 05:50:00,572
2024-10-08 06:00:00,580
2024-10-08 06:10:00,575
2024-10-08 06:20:00,591
2024-10-08 06:30:00,599
2024-10-08 06:40:00,599
2024-10-08 06:50:00,561
